Designator,Mid X,Mid Y,Rotation,Layer
C1,164.35,-111.71,180.0,bottom
C10,168.52,-105.05,180.0,bottom
C11,166.5,-107.51,0.0,bottom
C2,151.34,-109.65,0.0,bottom
C3,188.7525,-95.77,180.0,bottom
C4,164.79,-98.1,0.0,bottom
R10,171.77,-103.73,270.0,bottom
R23,175.12,-103.75,270.0,bottom
R3,163.44,-99.8,90.0,top
R4,160.79,-99.84,90.0,top
R5,188.68,-101.52,0.0,bottom
R6,169.76,-72.74,180.0,bottom
R7,122.99,-67.73,0.0,bottom
SW1,174.88,-71.62,0.0,bottom
SW2,185.04,-98.08,90.0,bottom
SW3,112.05,-70.31,0.0,top
TP1,165.07,-102.87,0.0,bottom
TP2,137.93,-63.61,0.0,top
U1,184.030001,-84.54,90.0,bottom
U2,157.89,-109.3175,180.0,bottom
U3,162.1425,-85.165,180.0,top
USB3,173.39,-110.06,0.0,bottom
